Bar,Markup,Address,City,State,Phone #
The Aigburth Arms,8,5818 3rd Avenue,West End,New York,259-324-9716
O'Malley's,6,14067 Dewey Place,Findlay,Idaho,620-386-1122
Torchy's,9,558 Stegman Place,Earlimart,Pennsylvania,860-795-0165
Braidwood Inn,10,7353 Mall Drive W,Clermont,Alabama,194-689-5004
Mos Eisley Cantina,6,9228 Jan De Roos,Kountze,Kansas,498-603-3243
John McRory's Place,7,11926 Winfield Terrace,White Plains,Oregon,210-674-2865
Deville,8,4419 Thompson Avenue,Granite Shoals,New Jersey,394-086-3922
The Hand of Glory,10,13693 South Street,Mount Vernon,Oklahoma,139-823-0856
McAnally's,7,3805 Wheaton Road,Crowell,Texas,858-722-9924
Cafe Rene,6,4856 West Court,Cedar Point,West Virginia,544-568-3614
Windpeak Inn,5,6809 Wolbert Terrace,Galveston,Maine,833-727-5901
Shooters,10,2757 Pebble Beach Drive,Deerfield,Montana,777-126-9370
SaxonwoldShebeen,9,4428 Sterling Place,Bend,Mississippi,341-483-4270
Eden Hall,7,13130 Greenwood Terrace,Donalds,Connecticut,303-929-0224
Salieri's Bar,7,6990 Oxford Avenue,Brenham,Alabama,813-915-8983
The Orange Tree,6,12441 Sun Valley Circle,Branchville,Massachusetts,943-188-5088
Pedro McKinnon,10,13742 Academy Street,Larkspur,Kansas,824-490-1996
The Armada Room,7,3912 Parchment,Dallas,Delaware,148-018-4821
The Pilgrim's Rest,9,8594 Muriel Pkwy,Mexico,Illinois,533-125-7538
The Crazy Cock,5,8276 Castle View,Titusville,Tennessee,284-242-0596
Scarlet Raven Tavern,5,1241 Furlong Circle,Valley,Hawaii,233-873-7117
The Rose & Thorn,8,5612 Hampton Place,Simonton,Georgia,765-572-3830
Mad Dog Saloon,6,12739 Rosehill Place,Shiner,Nebraska,337-617-4980
The Moonrakers,5,13205 Covered Bridge Court,Marathon,Montana,187-155-4447
The Kebab & Calculator,9,4628 George Dieter,Ronkonkoma,Arkansas,259-324-9716
The Shakespeare,7,11688 Standish Street,Cambrian Park,Connecticut,770-959-5601
The Plot and Plaster,10,7485 Mitchell Avenue,Eldridge,Montana,136-453-3734
Old Prospector Saloon,6,11977 S Vermont Avenue,Lower Lake,Ohio,566-936-9992
The Drunken Clam,10,1592 Florence Terrace,Northeast Wharton,Idaho,982-474-1186
Mr. Pubbs,7,1518 Gates Terrace,Pettus,Montana,933-971-3769
The Mucky Duck,8,13214 Knight Court,Fairmont Mills,Iowa,613-894-7311
MacLaren's Pub,6,9591 Barrow Street,Milton,New Jersey,183-817-3495
Rosie's Bar,5,10214 Wooster,Andrews,Montana,845-176-9114
Kennedy's,9,14249 Theresa Place,Baldwin Harbor,Pennsylvania,394-310-7180
The Old Pink Dog,9,8263 Saint Crispin,Indian Springs,Kansas,315-089-5275
The Lamb & Flag,7,12336 Birch Avenue,Maywood,Arizona,829-843-7477
The Brick,5,917 Schaeffer Lane,Corcoran,Wyoming,319-635-5650
Alibi Bar,9,5243 Old Wood Road,Brasher,Iowa,735-061-0363
Y Deri Arms,10,1425 Mina Drive,South Woodbridge,Hawaii,263-368-3671
Duke's Pub,9,13332 Jackson Avenue,Bowling Green,Rhode Island,314-218-5578
Korova Milk Bar,8,2191 Trinity Avenue,Coward,Alaska,589-541-4845
The Feed Bag,10,13487 Hitchcock,Dallas,Rhode Island,931-224-4828
Talon Bar,9,3648 Otter Lane,Trinity Village,Mississippi,829-112-9568
Colonial Taphouse,5,12739 Rosehill Place,Campbell,Kentucky,182-661-8107
The Butchers Arms,7,13431 Anna Street,Fort Motte-Lone Star,California,220-759-0748
Tabard,8,14027 Grams Avenue,North Tonawanda,Montana,727-533-8017
Daddy Crab Leg's Crab Shack,10,11248 Roundtree Court,Gaines,Nevada,707-900-1648
The Malt Shovel,5,12646 Savitt Place,Arial,Kansas,418-616-5733
Paddy's Pub,9,9414 Townley Avenue,Rapids,Florida,112-392-3585
Dugout Inn,6,11688 Standish Street,Beasley,Pennsylvania,742-573-5070
Underworld Tavern,10,9857 Stone Gate,Minot,Nevada,938-877-1580
The Oak and Crosier,7,1231 Oriental Avenue,La Homa,Rhode Island,827-619-2691
World's End Tavern,9,7485 Mitchell Avenue,Miles,Montana,229-162-8611
The Yellow Flag,5,3914 Pendale,Fort Montgomery,West Virginia,536-678-8608
Four Shields Tavern,8,475 Alton Street,Ladson,Texas,982-474-1186
The Buck's Head Inn,9,10749 Wallingford Terrace,Skokie,Pennsylvania,681-458-1416
The Cap & Bell,5,14313 Chapel Avenue,Big Thicket Lake Estates,Missouri,918-805-1589
Kadie's Club Pecos,10,13693 South Street,Laguna Park,Oklahoma,522-319-2439
The Bada Bing,7,9857 Stone Gate,Reid Hope King,North Dakota,481-771-8681
The Hanged Man,8,4224 Bob Gilder,Bristol,South Dakota,679-073-3453
The Woolpack,10,7537 Mueller Court,Marana,Oregon,317-232-0102
Wandin Valley RSL,5,12752 Post Lane,Raisin City,Florida,976-951-5507
The Queen Victoria,6,889 Van Buren Avenue,West Bexar,Arizona,451-097-2288
Fangtasia,5,1425 Mina Drive,Kendleton,New Mexico,615-200-1275
Dead Man's Drink,5,5198 Norton Road,Llagas-Uvas,Indiana,168-947-5661
The Admiral Benbow Inn,9,5198 Norton Road,Peru,California,251-087-5336
The Tall Ship,9,9731 Jockey Hollow Way,Artesia,California,314-806-7740
Rolliver's Inn,10,2259 Lake Spier,East Orosi,Ohio,672-708-7722
Bunnys,8,12739 Rosehill Place,Waterville,Nevada,727-861-0980
P3,8,11926 Winfield Terrace,Cooper,Missouri,260-455-8401
Table Salt,9,12441 Sun Valley Circle,Fort Covington Hamlet,Oklahoma,602-077-7013
Roulette,7,3912 Parchment,Quitaque,Nevada,894-996-1334
Rovers Return Inn,10,14313 Chapel Avenue,Tulare,New Jersey,795-163-7868
Bob's Country Bunker,10,5600 Spinnaker Way,Copiague,Tennessee,684-675-3761
Poor Richard's,8,9228 Jan De Roos,Adamsville,Nebraska,153-000-3455
Rowlf's Tavern,5,11926 Winfield Terrace,Lockwood,North Carolina,457-712-1225
The Duke Of Burgundy,9,4584 Brookside Court,Ellenville,Utah,731-500-8509
The Winking Skeever,8,3117 Burwell Street,Vestal,Colorado,697-494-3767
The Feathers,6,5612 Hampton Place,Valatie,Hawaii,778-752-5643
The Rose & Crown,5,3914 Pendale,McKinney,North Carolina,665-799-8571
The Old Haunt,7,7892 Bob Gilder,Boyd,Nebraska,581-715-7016
Charlie's,8,2094 McWilliams Place,Grimes,Oregon,172-472-3706
The Spotted Dog,9,5424 Hazeltime,Kosse,Vermont,598-481-6702
