Bar,Beer,Type,Price
O'Malley's,Dark Lager,beer,9.978322976
Noah's Bar,Kwak,beer,14.7300989
The Lion and Unicorn,Light Ale,beer,10.63889088
P3,Amber Light,beer,11.51412652
The Armada Room,Witches Brew,beer,10.66354337
The Armada Room,Clearwater Light,beer,11.09832333
The Woolpack,Hibernator,beer,14.55060219
Broome's,Doppio Malto,beer,12.03926361
The Woolpack,Boombalatty,beer,15.63432639
Fortune Casino,Drool Brown Ale,beer,11.68759319
Night Spot,& Barnes Festive Ale,beer,11.88529263
Salieri's Bar,Salvation,beer,13.13766106
Fortune Casino,Black Mocha Stout,beer,11.17523294
Milliway's,Keg Can,beer,9.318976055
Rowlf's Tavern,Butte Porter,beer,8.150556289
Samoan Joe's,Brewmaster's Select,beer,10.9006346
Porky's,Equis Amber,beer,13.33638099
Rick's Café Américain,Kwak,beer,12.7300989
Cocktails and Dreams,Autumn Lager,beer,11.70162507
Torchy's,Cleary Red Amber Ale,beer,12.09921961
Lucky Lockup,Ice,beer,9.775816524
Cockatoo Inn,Bavarian Style Lager,beer,15.01522014
Cafe Rene,Acker Dark,beer,11.97151722
Brady Pub,Raspberry Wheat Ale,beer,10.55276597
Deville,Outlaw Lager,beer,11.29743004
"The Hand & Racquet, East Cheam",Hat Blind Faith,beer,13.16029423
The Learned Goat,Turbodog,beer,12.46603984
The Sole Regret,Hi Dry,beer,10.00260384
Alibi Bar,UFO Hefeweizen,beer,14.52158971
Mr. Pubbs,Mom Hefeweizen,beer,10.68087969
John McRory's Place,Light,beer,12.23028881
Wonder Bar,Midas Touch,beer,13.92880928
Dugout Inn,Premium Pils,beer,10.19810353
The Railway Arms,Mountain Five Malt Ale,beer,9.843175749
The Winchester Tavern,Equis,beer,8.611567941
Y Deri Arms,St. Tankhouse Ale,beer,14.32615161
The Feed Bag,Red Rush Ale,beer,16.41215583
Dagmar,Bock Beer,beer,13.27639196
Mos Eisley Cantina,Premium Ale,beer,11.78231244
Palace Saloon,Western Lager,beer,11.23824641
The Snug,Belgian-Style Golden Ale,beer,12.22425907
Braidwood Inn,312 Urban Wheat Ale,beer,16.08499712
Tavern of Time,Woody Creek White,beer,12.25612826
The Eolian,St. Terese's Pale Ale,beer,12.38163605
The Oak and Crosier,Mild Ale,beer,10.67517139
Wandin Valley RSL,Hammer Imperial Porter,beer,9.394735896
Talon Bar,Red Irish Ale,beer,12.47627984
Alibi Bar,Amber Light,beer,12.51412652
Windpeak Inn,Kaiser Imperial Oktoberfest,beer,8.558027046
The Plot and Plaster,Chesterfield Ale,beer,15.27100842
The Silent Woman,Black Hawk Stout,beer,11.160211
SaxonwoldShebeen,Black Porter,beer,13.46892038
Charlie's,Wheat,beer,12.01801981
The Oak and Crosier,Moon Belgian White,beer,10.18087686
Jack Rabbit Slim's,Organic Hefe-Weizen,beer,12.95702124
The Bronze,Ommegeddon,beer,12.45135069
The Maidenhead,Mountain Tasmanian Pale Ale,beer,13.5690654
The Winchester Club,Gaelic Ale,beer,14.5011261
The Ballroom,Springs UrBock,beer,11.82649277
The Old Pink Dog,Mad Elf,beer,12.4128899
The Leaky Cauldron,Maibock,beer,12.02560655
Four Shields Tavern,Elbow,beer,12.22102109
The Bannered Mare,Traditional Red Ale,beer,10.08894809
Maxwell's Nightclub,Hi Dry,beer,15.00260384
Cooper's,Raspberry Wheat Ale,beer,10.55276597
Jack's Crocodile Bar,River Vienna Lager,beer,13.3654341
The Queen Victoria,Dubbel Reserve,beer,11.33229002
Joe's,Crack'd Wheat,beer,13.4861103
Braidwood Inn,St. Stock Ale,beer,16.70850209
The Prancing Pony,Country Chase Ale,beer,10.86549984
Maxwell's Nightclub,Premium Pils,beer,14.19810353
Louie's,Crow Ale,beer,11.5397883
Pedro McKinnon,Desert Pils,beer,15.55768757
